"Accession","Group ID"
"scer|YBL100W-A","OG7_0011767"
"scer|YBL100W-B","OG7_0011767"
"scer|YBL100W-C","OG7_0155748"
"scer|YBL101C","OG7_0101690"
"scer|YBL102W","OG7_0003990"
"scer|YBL103C","OG7_0004173"
"scer|YBL104C","OG7_0008372"
"scer|YBL105C","OG7_0000103"
"scer|YBL106C","OG7_0002691"
"scer|YBL107C","OG7_0033015"
"scer|YBL108C-A","OG7_0014528"
"scer|YBL111C","OG7_0014529"
"scer|YBL112C","OG7_0014529"
"scer|YBL113C","OG7_0014529"
"scer|YBR001C","OG7_0005760"
"scer|YBR002C","OG7_0004076"
"scer|YBR003W","OG7_0002153"
"scer|YBR004C","OG7_0007603"
"scer|YBR005W","OG7_0101687"
"scer|YBR006W","OG7_0000704"
"scer|YBR007C","OG7_0015057"
"scer|YBR008C","OG7_0003055"
"scer|YBR009C","OG7_0002354"
"scer|YBR010W","OG7_0001575"
"scer|YBR011C","OG7_0003350"
"scer|YBR012W-A","OG7_0014733"
"scer|YBR012W-B","OG7_0011767"
"scer|YBR013C","OG7_0155749"
"scer|YBR014C","OG7_0002700"
"scer|YBR015C","OG7_0009716"
"scer|YBR016W","OG7_0018974"
"scer|YBR017C","OG7_0005206"
"scer|YBR018C","OG7_0007662"
"scer|YBR019C","OG7_0001250"
"scer|YBR020W","OG7_0004338"
"scer|YBR021W","OG7_0011734"
"scer|YBR022W","OG7_0009125"
"scer|YBR023C","OG7_0002753"
"scer|YBR024W","OG7_0005441"
"scer|YBR025C","OG7_0003363"
"scer|YBR026C","OG7_0001074"
"scer|YBR028C","OG7_0000103"
"scer|YBR029C","OG7_0003730"
"scer|YBR030W","OG7_0001717"
"scer|YBR031W","OG7_0005381"
"scer|YBR033W","OG7_0015588"
"scer|YBR034C","OG7_0001729"
"scer|YBR035C","OG7_0007198"
"scer|YBR036C","OG7_0156126"
"scer|YBR037C","OG7_0005441"
"scer|YBR038W","OG7_0008184"
"scer|YBR039W","OG7_0005012"
"scer|YBR040W","OG7_0155469"
"scer|YBR041W","OG7_0003456"
"scer|YBR042C","OG7_0003547"
"scer|YBR043C","OG7_0003055"
"scer|YBR044C","OG7_0155964"
"scer|YBR045C","OG7_0155879"
"scer|YBR046C","OG7_0001083"
"scer|YBR047W","OG7_0155514"
"scer|YBR048W","OG7_0003138"
"scer|YBR049C","OG7_0007842"
"scer|YBR050C","OG7_0155688"
"scer|YBR052C","OG7_0006510"
"scer|YBR053C","OG7_0004689"
"scer|YBR054W","OG7_0010526"
"scer|YBR055C","OG7_0007564"
"scer|YBR056W","OG7_0006512"
